Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debtor Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity
2021,Walmart,Retail ,403.97,559151,138836,13510,4.75,33700,87531,36074,-10071,-16117,0.9722,0.5583,15.6585,5.4282,10.3385,2.4162,3.9561,23.4099
2020,Walmart,Retail ,406.25,523964,129359,14881,5.19,31555,81552,25255,-9128,-14299,0.7945,0.6679,18.6396,6.4276,11.7316,2.8401,-0.9025,30.1135
2019,Walmart,Retail ,342.83,514405,129104,6670,2.26,32635,79634,27753,-24036,-2537,0.7989,0.7287,9.015,3.2737,5.5292,1.2966,-0.1131,14.8164
2018,Walmart,Retail ,269.03,500343,126947,9862,3.28,30966,80822,28337,-9079,-19875,0.7598,0.5752,13.02,5.1452,8.9446,1.971,-0.7113,16.8153
2017,Walmart,Retail ,290.84,485873,124617,13643,4.38,32844,80535,31673,-13896,-19072,0.862,0.5704,17.7476,7.1887,11.6627,2.8079,1.7177,22.5094
2016,Walmart,Retail ,220.11,482130,121146,14694,4.57,33559,83611,27552,-10675,-16285,0.9322,0.5984,18.0359,7.5558,11.8144,3.0477,-0.0354,22.5357
2015,Walmart,Retail ,196.59,485651,120565,16363,5.05,36320,85937,28564,-11125,-15071,0.9697,0.5837,19.5655,8.2628,12.9906,3.3693,1.919,24.7866
2014,Walmart,Retail ,275.07,476294,118225,16022,4.88,35742,81339,23257,-12526,-10789,0.8823,0.6964,20.3482,8.0835,13.1464,3.3639,-0.5916,26.769
2013,Walmart,Retail ,256.52,468651,116354,16999,5.02,36203,81738,25591,-12637,-11946,0.8346,0.6623,21.6595,8.7167,14.3754,3.6272,0.6424,28.9087
2012,Walmart,Retail ,231.63,446509,111516,15699,4.52,34597,75761,24255,-16609,-8458,0.8824,0.7052,21.6576,8.4837,13.3572,3.5159,0.1446,29.7732
2011,Walmart,Retail ,201.61,421849,106903,16389,4.47,33183,71247,23643,-12193,-12028,0.8875,0.6999,22.3995,8.8278,13.8667,3.885,-0.771,29.2912
2010,Walmart,Retail ,198.45,408085,103979,14370,3.71,31159,72648,26249,-11620,-14191,0.8648,0.5688,20.5952,8.7802,13.7204,3.5213,0.7575,26.4711
2009,Walmart,Retail ,221.28,404254,100313,13381,3.39,29506,67079,23147,-10742,-9918,0.8837,0.6294,20.4744,8.4036,13.514,3.31,3.1288,26.5038
2022,Alibaba,E-Commerce,229.09,134567,49471,9774,22532,3.59,169189,22520,-31327,-10167,1.6638,0.1318,4.3898,2.7768,3.9071,7.2633,-4.6264,6.3305
2021,Alibaba,E-Commerce,320.85,109480,45191,22941,21000,8.35,164071,35378,-37271,4591,1.7049,0.1387,13.329,8.4771,11.8348,20.9545,3.9721,20.142
2020,Alibaba,E-Commerce,603.22,71985,32107,21080,18985,7.9,122945,25507,-15263,10006,1.9139,0.1441,16.1218,10.6893,14.1648,29.2839,2.1839,26.3406
2019,Alibaba,E-Commerce,576.17,56152,25319,13053,14030,4.97,90681,22496,-22509,-1101,1.3014,0.2207,13.1836,8.3136,11.137,23.2458,0.6703,29.1365
2018,Alibaba,E-Commerce,340.03,39898,22833,10201,14639,3.91,69578,19955,-13374,3246,1.8913,0.2877,14.072,8.5641,11.0467,25.5677,2.2236,25.8645
2017,Alibaba,E-Commerce,440.9,22994,14352,6345,9058,2.47,46654,11670,-11385,4782,1.9464,0.2857,12.8371,8.1339,10.3586,27.5942,0.7341,23.3026
2016,Alibaba,E-Commerce,215.67,15686,10358,11083,5623,4.33,38700,8815,-6643,-2457,2.5761,0.2315,28.5685,19.5609,23.5274,70.6554,0.7596,44.6545
2015,Alibaba,E-Commerce,204.4,12293,8448,3896,4472,1.56,25393,6649,-8623,14114,3.582,0.3341,15.4491,9.5205,11.6909,31.6928,0.7559,22.9859
2014,Alibaba,E-Commerce,259.58,8463,6308,3720,4291,1.61,6561,4252,-5319,1509,1.8145,1.0091,76.9325,20.9777,32.7658,43.956,0.6714,92.3378
2013,Alibaba,E-Commerce,,5553,3990,1352,1908,0.57,1763,2329,88,-226,1.7987,2.5462,1677.108,13.5659,25.8929,24.3472,0.3952,-337.046
2012,Alibaba,E-Commerce,,3135.915,2109.559,662.1048,942.732,0.26,5384.378,1452.465,-19.575,74.385,2.3742,0.0373,13.5678,9.8814,13.5678,21.1136,0.5295,22.3302
2011,Alibaba,E-Commerce,,1777.118,1255.016,176.6219,197.3748,0.07,4240.418,,,,24.6258,0.0284,,4.2506,5.6616,9.9387,0,9.7125
2010,Alibaba,E-Commerce,,977.822,738.2776,-117.5732,63.771,-0.05,3883.874,,,,1.1108,,,-1.206,-1.8986,-12.024,0,-3.3589
2022,Home Depot,Retail ,325.47,151157,50832,16433,15.53,25902,-1696,16571,-2969,-19120,1.0126,-23.6356,-968.9269,22.863,47.0752,10.8715,-1.9539,-179.6938
2021,Home Depot,Retail ,418.51,132110,44853,12866,11.94,20797,3299,18839,-10170,-2983,1.2293,11.2877,389.9969,18.2287,32.8877,9.7389,5.1555,-336.1902
2020,Home Depot,Retail ,290.97,110225,37572,11242,10.25,18139,-3116,13687,-2653,-10798,1.0781,-10.1037,-360.7831,21.9416,43.9931,10.1991,0.6541,-209.3482
2019,Home Depot,Retail ,239.29,108203,37160,11121,9.73,17682,-1878,13165,-2416,-12547,1.1085,-15.5495,-592.1725,25.2733,44.6107,10.2779,0.7827,-269.2736
2018,Home Depot,Retail ,197.41,100904,34356,8630,7.29,16743,1454,12031,-2228,-8870,1.1691,18.5887,593.5351,19.3806,33.5524,8.5527,1.9537,-1051.157
2017,Home Depot,Retail ,223.27,94595,32313,7957,6.45,15400,4333,9783,-1583,-7870,1.2541,5.4468,183.6372,18.5193,29.8216,8.4117,0.4775,355.2232
2016,Home Depot,Retail ,166.05,88519,30265,7009,5.46,13637,6316,9373,-2982,-5787,1.3162,3.3591,110.9721,16.6988,25.8587,7.9181,1.0799,166.3265
2015,Home Depot,Retail ,168.88,83176,28389,6345,4.71,12255,9322,8242,-1271,-7071,1.3579,1.8448,68.0648,15.8839,24.2259,7.6284,0.6756,79.621
2014,Home Depot,Retail ,136.38,78812,26915,5385,3.76,10923,12522,7628,-1507,-6652,1.4214,1.1759,43.0043,13.2904,19.7883,6.8327,0.6312,47.9391
2013,Home Depot,Retail ,112.59,74754,25842,4535,3,9450,17777,6975,-1432,-5034,1.3411,0.6073,25.5105,11.0384,16.641,6.0666,0.2866,27.3078
2012,Home Depot,Retail ,94.71,70395,24262,3883,2.47,8343,17898,6651,-1129,-4048,1.5486,0.6027,21.6952,9.5834,13.5504,5.516,1.3393,23.1434
2011,Home Depot,Retail ,63.14,67997,23304,3338,2.01,7557,18889,4585,-1012,-4451,1.3317,0.5161,17.6717,8.319,12.096,4.909,-0.4082,18.8566
2010,Home Depot,Retail ,56.69,66176,22412,2661,1.57,6609,19393,5125,-755,-3503,1.3413,0.4993,13.51,6.4095,9.3388,4.0211,0.2927,14.3782
2009,Home Depot,Retail ,47.95,71288,23990,2260,1.34,6261,17777,5528,-1729,-3680,1.1981,0.6432,13.0056,5.6166,8.4244,3.1702,2.2705,13.8917
2022,Dell,Technology,28.81,101197,21891,5563,7.02,9210,-1580,10307,1306,-16609,0.801,-17.0595,-312.7848,5.3292,25.2775,5.4972,-2.6622,-17.1532
2021,Dell,Technology,41.64,86670,20140,3250,4.22,9075,7553,11407,-460,-5950,0.8048,5.1929,29.7233,1.8191,5.5545,3.7499,3.2164,-10.3983
2020,Dell,Technology,54.3,84815,20639,4616,6.03,8509,3155,9291,-4686,-4604,0.7028,16.4995,16.5135,0.4383,1.0974,5.4424,1.9068,-0.9198
2019,Dell,Technology,36.61,90621,25053,-2310,-2.96,7555,-942,6991,3389,-14329,0.8036,-56.8164,231.5287,-1.9505,-4.5194,-2.5491,0.4021,3.4454
2018,Dell,Technology,35.94,79040,20537,-2849,-3.7,6218,17485,6843,-2875,403,0.8798,2.9666,-16.7343,-2.356,-4.759,-3.6045,4.4709,5.7712
2017,Dell,Technology,63.2,62164,13649,-1167,-1.76,2816,19009,2367,-31236,31785,0.8069,2.5982,-16.1713,-2.6005,-4.9525,-1.8773,-2.2038,5.5938
2016,Dell,Technology,37.76,50911,8387,-1104,-2.72,2417,1466,2162,-321,-496,0.9314,9.2981,-79.6726,-2.5885,-9.6401,-2.1685,-0.8227,7.5272
2015,Dell,Technology,,54142,8896,-1221,-3.02,2714,2904,2551,-355,-3094,0.8264,4.8743,-38.1543,-2.2991,-7.837,-2.2552,2.7171,5.8553
2014,Dell,Technology,,14075,1393,-1612,-4.06,-1036,0,1082,-8553,13960,,,,,,,,
2022,Sony,Technology,95.04,88301.47,36273.81,7851.384,6.275,18750.6,64055.52,10979.42,-6486.142,-2995.544,0.6319,0.4657,12.3437,2.9146,10.5751,8.8916,-0.6981,15.3326
2021,Sony,Technology,152.82,84593.98,36911.58,11014.69,8.8069,12808.04,52841.88,12691.41,-16746.25,6269.49,0.9237,0.479,21.1933,4.5205,18.6305,13.0207,-0.3527,31.3683
2020,Sony,Technology,116.94,75990.95,32261.75,5356.157,4.243,11611.33,44063.72,12417.65,-12440.96,604.0536,0.919,0.3875,12.9921,2.7009,11.4713,7.0484,0.07,20.0772
2019,Sony,Technology,84.04,77991.18,31634.43,8246.439,6.37,11414.35,39930.21,11328.64,-11767,-1105.956,0.863,0.4173,21.7854,4.6067,19.3115,10.5736,-0.6306,35.1451
2018,Sony,Technology,61.1,76895.84,30201.5,4417.146,3.4178,9866.73,32824.41,11294.75,-7399.773,2218.104,0.9209,0.4973,15.0056,2.8705,12.815,5.7443,3.801,21.1346
2017,Sony,Technology,57.64,70710.23,26507.23,681.5877,0.5291,5726.476,29159.42,7526.137,-11661.95,4206.409,0.8342,0.5548,4.0684,0.7223,3.342,0.9639,0.8885,6.2878
2016,Sony,Technology,35.9,67277.41,24392.19,1226.665,0.9752,5737.688,25932.6,6217.438,-8552.345,3155.013,0.8688,0.4623,6.7121,1.2578,5.6972,1.8233,-2.059,11.0239
2015,Sony,Technology,31.18,74764.51,26760.7,-1146.418,-1.0287,3850.867,26649.06,6867.224,-5820.688,-2395.074,0.8846,0.5313,-1.6734,-0.3095,-1.3461,-1.5334,0.0222,-2.8411
2014,Sony,Technology,24.35,77672.66,26272.13,-1283.69,-1.2499,4031.887,27831.41,6641.16,-7105.02,2078.77,0.879,0.7212,-2.4735,-0.449,-1.8607,-1.6527,0.6959,-4.8628
2013,Sony,Technology,17.57,72349,24632,1108,0.43,5750,28555,5122,-7503,885,0.8451,0.6537,1.6039,0.303,1.1884,1.5315,2.0411,2.8447
2012,Sony,Technology,11.33,70187.95,14480.08,-5059.99,-5.55,-5384.672,31878.53,6336,-10767,3138,0.8289,0.7694,0.3576,0.0675,0.2743,-7.2092,-2.5053,0.6279
2011,Sony,Technology,18.01,73761.49,17234.55,-2577.81,-3.12,-1509.363,34584.05,7210.06,-8358.93,-118.31,0.9314,0.5984,4.4658,1.0213,3.5032,-3.4948,-1.9626,6.2986
2010,Sony,Technology,35.95,67964.45,15124.77,139.9,-0.44,-1837.781,35483.99,9859.39,-8056.84,3942.15,1.018,0.6166,-1.2372,-0.3159,-0.9656,0.2058,2.3507,-1.6472
2009,Sony,Technology,29.03,71100.53,14495.49,-989.38,-1.01,-1231.502,32166.02,4071.53,-10813.42,2674.58,0.9501,0.5198,-3.14,-0.8407,-2.6053,-1.3915,4.0573,-4.2503
2022,Intel,Technology,108.57,63054,26866,8014,1.94,15369,103286,15433,-10477,1361,1.5676,0.4071,7.7619,4.4025,5.687,12.7097,-4.564,11.506
2021,Intel,Technology,208.27,79024,43815,19868,4.86,31248,95391,29456,-24449,-6045,2.1323,0.3994,20.828,11.7977,15.4134,25.1417,-2.8278,32.4864
2020,Intel,Technology,199.28,77867,43612,20899,4.94,35917,81038,35864,-21524,-12669,1.9087,0.4492,25.7891,13.6514,18.1833,26.8394,1.2739,46.4
2019,Intel,Technology,260.38,71965,42140,21048,4.71,32861,77504,33145,-14405,-17565,1.4002,0.3742,27.1573,15.4171,20.4723,29.2476,0.7539,52.0977
2018,Intel,Technology,215.56,70848,43737,21053,4.48,32401,74563,29432,-11239,-18607,1.7314,0.3535,28.2352,16.4524,21.1246,29.7157,0.8946,55.0924
2017,Intel,Technology,219.54,62761,39098,9601,1.99,26179,69019,22110,-15762,-8475,1.6934,0.3885,13.9107,7.7899,10.2078,15.2977,-0.3622,30.1113
2016,Intel,Technology,171.75,59387,36233,10316,2.12,20923,66226,21808,-25817,-5739,1.749,0.3818,15.577,9.1029,11.8745,17.3708,0.1101,24.1972
2015,Intel,Technology,163.36,55355,34679,11420,2.33,22713,61085,19018,-8183,1912,2.4492,0.3711,18.6953,11.2558,14.0777,20.6305,0.3492,24.9236
2014,Intel,Technology,177.54,55870,35609,11704,2.31,23896,55865,20418,-9905,-13611,1.7319,0.2444,20.9505,12.7356,17.231,20.9486,0.0651,28.8574
2013,Intel,Technology,127.23,52708,31521,9620,1.89,20323,58256,20776,-18073,-5498,2.3647,0.2308,16.5133,10.416,13.4694,18.2515,0.452,22.5859
2012,Intel,Technology,104.7,53341,33151,11005,2.13,22160,51203,18884,-14060,-1408,2.4312,0.2626,21.4929,13.0467,17.1047,20.6314,-0.3622,31.2128
2011,Intel,Technology,127.46,53999,33757,12942,2.39,23541,45911,20963,-10301,-11100,2.151,0.1597,28.1893,18.1977,24.4212,23.9671,-0.1314,42.5864
2010,Intel,Technology,116.82,43623,28491,11464,2.01,20226,49430,16692,-10539,-4642,3.3892,0.0428,23.1924,18.1433,22.2572,26.2797,0.8374,26.0315
2009,Intel,Technology,113.36,35127,19561,4369,0.77,10763,41704,11170,-7965,-2568,2.7871,0.0533,10.4762,8.2286,9.9856,12.4377,1.1789,11.7185
2022,LG,Technology,3.55,18306.25,786.8535,-2150.095,-3.0044,1730.687,7923.459,2107.714,-4690.118,1362.217,0.6764,1.335,-28.2315,-8.9547,-15.2595,-11.7452,-4.8769,-33.4047
2021,LG,Technology,6.9,26890.24,4774.594,1067.564,1.4085,6058.178,13286.25,5178.102,-3836.772,-2219.522,0.9423,0.8652,9.0333,3.4951,5.6831,3.9701,2.8766,10.1661
2020,LG,Technology,5.8,19384.1,2114.057,-71.4736,-0.1,3284.582,10189.55,1829.558,-1855.453,745.4632,1.0084,1.1243,-0.5546,-0.2014,-0.296,-0.3687,4.4879,-0.6029
2019,LG,Technology,5.02,18780.45,1494.66,-2263.764,-3.1632,1868.535,9990.625,2165.236,-5404.314,3990.322,0.9329,1.0882,-22.9982,-8.0734,-11.9168,-12.0538,-0.1264,-24.7277
2018,LG,Technology,5.82,22146.28,2807.592,-188.5875,-0.2635,3318.184,13546.48,4080.552,-6984.559,2687.156,0.884,0.5767,-1.2054,-0.5409,-0.8187,-0.8516,-4.6271,-1.2911
2017,LG,Technology,9.85,24588.18,4747.326,1595.039,2.2288,5022.171,13255.31,5984.817,-5734.311,762.8929,1.1665,0.374,12.9296,6.6429,10.1248,6.487,0.1803,13.7685
2016,LG,Technology,9.4,23853.67,3374.822,816.0417,1.1403,3898.809,12116.15,3276.815,-2870.264,277.1523,1.4854,0.355,6.9193,3.7434,5.3006,3.421,-0.787,7.4121
2015,LG,Technology,7.53,25545.5,3882.881,869.8977,1.2155,4501.218,11434.46,2453.919,-2458.736,-157.0482,1.4427,0.3325,8.0556,4.5331,6.5973,3.4053,-3.0407,8.625
2014,LG,Technology,10.96,26455.52,3788.389,917.4,1.26,4579.338,11783.41,2864.52,-3451.27,404.65,1.224,0.3605,7.6741,3.9372,6.0033,3.4677,3.8631,8.069
2013,LG,Technology,8.41,24870.39,3227.531,385.45,0.56,4598.012,9933.62,3297.99,-4143.97,-359.7,1.1389,0.3615,4.0323,2.005,3.1567,1.5498,-0.6214,4.215
2012,LG,Technology,10.2,26192.4,2674.371,210.34,0.29,8281.762,9113.76,4067.02,-3282.48,-42.83,0.9683,0.4351,2.2773,0.9536,1.7046,0.8031,1.3206,2.3937
2011,LG,Technology,7.37,22105.07,1101.07,-716.98,-0.98,2627.57,9219.23,3335.93,-3179.95,-253.2,0.7928,0.3104,-7.613,-3.0651,-6.1825,-3.2435,-0.4346,-8.0375
2010,LG,Technology,12.7,22960.38,3357.592,1043.31,1.42,4152.561,9954.87,4395.17,-4063.65,367.31,0.9953,0.0855,10.4543,4.8468,9.6312,4.544,-0.3762,10.9907
2009,LG,Technology,12.48,16490.85,1839.199,866.92,1.32,3148.439,8095.84,3265.05,-3603.44,-68.27,1.3481,0.3894,11.7897,6.1065,9.7827,5.257,0.3064,12.1074
2022,HP,Technology,27.9,62910,12263,3132,2.98,5339,-3025,4463,-3549,-2068,0.7536,-3.641,-103.5372,8.1363,40.3037,4.9785,-1.2543,-27.0794
2021,HP,Technology,40.72,63460,13407,6541,5.36,6144,-1644,6409,-1012,-5962,0.7628,-4.5572,-397.871,16.9434,137.9376,10.3073,2.1431,-77.4358
2020,HP,Technology,31.43,56638,10421,2815,1.98,4231,-2228,4316,-1016,-2973,0.7875,-2.7904,-126.3465,8.1168,84.9171,4.9702,0.0196,-32.7021
2019,HP,Technology,29.85,58756,11170,3152,2.07,4621,-1193,4654,-438,-4845,0.7977,-4.306,-264.2079,9.4182,87.8729,5.3646,0.0713,-41.6656
2018,HP,Technology,30.58,58472,10669,5327,3.26,4359,-639,4528,-716,-5643,0.851,-9.3693,-833.6463,15.3862,137.1171,9.1103,0.5775,-80.6266
2017,HP,Technology,34.52,52056,9578,2526,1.48,3722,-3408,3677,-1717,-1251,0.9958,-2.2943,-74.1197,7.6748,75.6514,4.8525,0.3439,-27.9734
2016,HP,Technology,25.65,48238,8998,2496,1.43,3881,-3889,3252,48,-14445,0.9819,-1.7519,-68.5523,9.1972,93.6753,5.1743,-0.4745,-28.0307
2015,HP,Technology,20.83,51463,9939,4554,2.48,7981,28151,7026,-5534,808,1.2274,0.3151,13.2074,3.4786,10.6753,8.8491,-2.7807,16.5458
2014,HP,Technology,73.14,56651,11220,5013,2.62,8590,27127,12333,-2792,-6571,1.1466,0.7198,10.7789,2.8332,6.7738,8.8489,0.2288,-47.6222
2013,HP,Technology,53.76,112298,25918,5113,2.62,11742,27656,11608,-2803,-7943,1.1064,0.8167,18.4879,4.8384,11.5512,4.5531,0.8569,-77.0378
2012,HP,Technology,29.57,120357,27972,-12650,-6.41,12073,22833,10571,-3453,-3860,1.0851,1.2454,-55.4023,-11.6303,-28.3493,-10.5104,-0.4855,99.2079
2011,HP,Technology,51.27,127245,29827,7074,3.32,15546,39004,12639,-13959,-1566,1.0115,0.7854,18.1366,5.4618,11.4922,5.5594,0.7383,-43.0161
2010,HP,Technology,91.56,126033,30181,8761,3.69,16299,40781,11922,-11359,-2913,1.0968,0.5469,21.483,7.0368,15.6338,6.9514,-0.6394,-157.8559
2009,HP,Technology,121.46,114552,27063,7660,3.14,14916,40764,13379,-3580,-6673,1.2218,0.3883,18.7911,6.6725,13.9924,6.6869,4.1769,726.0663
2022,Lenovo,Technology,9.97,71618.22,12048.98,2029.818,3.154,4344.935,5394.701,4076.979,-1498.393,-1757.368,0.8852,0.6342,39.7674,4.8198,26.723,2.8342,0.4179,-80.2869
2021,Lenovo,Technology,13.83,60742.31,9767.887,1178.307,1.782,3240.424,3610.533,3652.773,-975.899,-3228.154,0.8525,1.3526,36.3658,3.4561,19.0011,1.9398,2.1641,-27.3857
2020,Lenovo,Technology,11.35,50716.35,8357.301,665.091,1.086,2408.381,4059.295,2209.923,-956.953,-238.485,0.8055,1.5565,19.8188,2.504,14.305,1.3114,0.8035,-20.4954
2019,Lenovo,Technology,8.06,51037.94,7370.641,596.343,0.992,1973.641,4097.063,1472.573,-699.745,122.666,0.8241,1.3797,16.0409,2.1915,10.0739,1.1684,3.9247,-15.5459
2018,Lenovo,Technology,8.11,45349.94,6272.129,-189.323,-0.334,1125.245,4545.988,-756.293,-1113.467,874.343,0.8049,1.0157,-2.7887,-0.4449,-1.7621,-0.4175,-6.036,3.1945
2017,Lenovo,Technology,6.77,43034.73,6105.516,535.084,0.972,1414.454,4095.222,2119.822,-1397.572,145.097,0.811,0.9456,12.9527,1.9512,7.5113,1.2434,4.0579,-12.4695
2016,Lenovo,Technology,6.73,44912.1,6623.938,-128.146,0.232,678.7807,3026.249,292.261,-853.645,-305.13,0.8228,1.1518,-4.7774,-0.5798,-2.6137,-0.2853,0.3477,2.5657
2015,Lenovo,Technology,11.27,46295.59,6681.813,828.715,1.56,1617.255,4106.121,238.492,-3281.897,2142.61,0.8887,0.7855,20.3745,3.0537,13.9621,1.7901,-2.4272,-16.3411
2014,Lenovo,Technology,13.68,38707.13,5063.648,817.228,1.56,1052.055,3024.72,1432.058,-583.699,-430.107,0.9954,0.1865,27.0263,4.4532,26.9361,2.1113,2.5683,-259.683
2013,Lenovo,Technology,12.64,33873.4,4427.043,635.148,1.22,800.0039,2680.181,19.53,-245.368,-68.203,1.0247,0.2158,23.5653,3.7412,21.1708,1.8751,-3.7298,-97.7336
2012,Lenovo,Technology,9.31,29574.44,3446.221,472.992,0.92,584.084,2447.969,1939.956,-837.071,-315.524,1.0009,0.0777,19.4208,2.9974,19.4208,1.5993,1.7455,-73.91
2011,Lenovo,Technology,6.87,21594.37,2363.953,273.234,0.54,382.2246,1834.9,965.256,65.519,-372.509,0.988,0.2019,14.8911,2.5522,14.8911,1.2653,0.164,-91.215
2010,Lenovo,Technology,6.21,16604.81,1789.594,129.368,0.26,218.6855,1606.018,834.751,-255.056,-217.14,0.9714,0.2236,8.0552,1.4445,7.1632,0.7791,2.0962,-28.104
2009,Lenovo,Technology,5.97,14900.93,1797.195,-226.392,-0.52,-191.791,1310.915,-97.307,432.243,-116.309,0.9181,0.217,-17.2695,-3.4189,-14.6919,-1.5193,-0.4375,41.7734
2022,Enbridge Inc.,Energy,79.18,41005.28,15937.82,1991.459,0.9846,9615.77,48765.74,8638.116,-4053.684,-4175.218,0.5983,1.2773,5.1926,1.6358,2.155,4.8566,1.4313,10.9057
2021,Enbridge Inc.,Energy,74.69,37557.95,14656.62,4640.586,2.29,9301.12,50561.33,7385.362,-8503.221,986.2044,0.4915,1.1937,11.3518,3.7391,4.8078,12.3558,-0.65,23.7502
2020,Enbridge Inc.,Energy,66.24,29178.45,13749.04,2226.81,1.102,8710.908,48046.98,7301.517,-3864.631,-3560.805,0.5258,1.0394,6.0336,2.1313,2.6859,7.6317,-0.5301,11.5425
2019,Enbridge Inc.,Energy,79.85,37732,14367.38,4010.659,1.99,9098.967,52305.11,7082.333,-3510.269,-3575.832,0.5512,0.936,9.4502,3.569,4.5147,10.6293,-1.3955,17.0975
2018,Enbridge Inc.,Energy,53.29,35780.63,13097.76,1940.323,1.1264,7857.729,56655.1,8102.293,-2327.615,-5788.564,0.577,0.8798,5.074,1.9969,2.4917,5.4228,4.1812,9.1056
2017,Enbridge Inc.,Energy,58.91,34233.19,12142.61,1950.871,1.2728,7173.247,50705.66,5078.897,-8486.942,2681.386,0.6301,0.9916,5.6325,2.0149,2.5798,5.6988,-1.744,11.661
2016,Enbridge Inc.,Energy,39.15,26099.71,7971.137,1341.235,1.458,4679.974,16586.46,3935.347,-3920.998,832.2304,0.6486,1.8926,15.6989,2.6901,3.9499,5.1389,3.5371,11.3677
2015,Enbridge Inc.,Energy,26.74,26480.98,6702.131,-28.9932,-0.031,3389.854,15827.15,3581.836,-6216.299,2329.643,0.7025,2.1037,-1.162,-0.1878,-0.2662,-0.1095,6.2703,-0.8471
2014,Enbridge Inc.,Energy,42.72,34106.51,7391.973,1415.32,1.1,4328.453,19073.4,2307.83,-10774.43,8852.59,0.8632,1.709,11.2897,2.2523,3.0124,4.1497,-2.7858,8.4581
2013,Enbridge Inc.,Energy,35.51,31976.54,5936.229,479.87,0.5,2656.789,18032.09,3245.44,-9161.27,4924.99,0.6478,1.3942,10.0301,2.3385,3.2899,1.5007,-2.5125,7.8663
2012,Enbridge Inc.,Energy,34.49,25320.93,5523.26,943.55,0.78,2631.562,14766.7,2875.69,-6207.66,4397.59,0.9337,1.4851,12.1615,2.8491,3.8442,3.7264,-3.5551,9.9391
2011,Enbridge Inc.,Energy,28.17,19634.82,4602.58,1072.72,1.3,2861.939,9803.24,2735.43,-4065.2,1396.56,0.8837,1.6756,11.5927,2.9134,4.0191,5.4634,0.8705,12.4093
2010,Enbridge Inc.,Energy,20.34,14688.31,3724.75,941.87,1.3,2301.269,7984.53,1797.32,-2596.45,727.27,1.121,1.8451,12.6497,3.401,4.484,6.4124,0.7331,13.9181
2009,Enbridge Inc.,Energy,16.76,10973.81,3041.43,1375.02,2.015,1782.609,7031.83,1775.56,-2910.27,976.25,0.9488,1.7772,11.6474,3.2512,4.369,12.53,-1.3549,12.8483
2022,Imperial Oil,Energy,30.9,45898.16,11168.02,5645.928,8.801,8754.266,17240.08,8062.754,-475.3656,-6359.746,1.2066,0.1854,32.7489,16.8643,27.7547,12.301,6.8342,34.9125
2021,Imperial Oil,Energy,25.69,29993.06,6437.455,1977.994,2.7767,4196.952,17342.36,4369.3,-807.4748,-2459.128,1.4067,0.2381,11.4056,6.0787,9.2538,6.5948,4.9764,11.9395
2020,Imperial Oil,Energy,13.99,16712.64,2647.836,-1386.25,-1.89,660.6541,15988.54,595.707,-598.693,-703.9495,1.3385,0.242,-8.6703,-4.8829,-7.0408,-8.2946,-2.82,-8.9598
2019,Imperial Oil,Energy,19.71,25698.51,4964.717,1657.92,2.167,2746.118,18294.39,3337.694,-1284.134,-1503.432,1.3774,0.2138,9.0624,5.2149,7.5247,6.4514,0.4608,9.3569
2018,Imperial Oil,Energy,20.96,27078.88,5722.988,1785.251,2.2065,3535.016,18893.26,3025.823,-1202.769,-1982.755,1.354,0.2115,9.4491,5.5818,7.8529,6.5928,0.5453,9.8594
2017,Imperial Oil,Energy,24.87,22697.67,4164.018,377.986,0.4474,2124.438,18849.16,2131.378,-602.4634,-908.7092,1.3073,0.2131,2.0053,1.1779,1.6644,1.6653,-1.6928,2.0781
2016,Imperial Oil,Energy,29.68,20657.74,5222.962,1635.008,1.9258,3075.173,18895.86,1521.728,1470.374,-2850.125,0.9866,0.2092,8.6527,5.1976,7.2039,7.9147,4.1504,8.8148
2015,Imperial Oil,Energy,27.64,21069.44,4777.61,879.1992,1.0344,2643.085,18355.83,1698.061,-2259.902,552.438,0.6805,0.3635,4.7898,2.599,3.7414,4.1729,-0.5953,4.8492
2014,Imperial Oil,Energy,37.5,33494.89,7935.625,3429.588,4.032,5542.615,20414.43,3991.371,-4133.628,90.61,0.5967,0.3059,16.7998,9.2701,13.7922,10.2391,3.2128,17.012
2013,Imperial Oil,Energy,37.29,31987.23,7152.418,2747.119,3.225,4708.375,18965.61,3197.849,-7513.779,4111.936,0.6048,0.322,14.4847,7.5985,11.7991,8.5882,-2.5765,14.6947
2012,Imperial Oil,Energy,36.47,31206.71,8176.904,3768.26,4.423,5757.453,16386.83,4682.808,-5241.143,-162.0972,0.693,0.1006,22.9957,12.8252,21.4562,12.0752,-1.3483,23.3666
2011,Imperial Oil,Energy,34.91,30839.68,7603.15,3411.45,3.93,4992.201,13480.85,4542.86,-3636.11,39.46,0.8544,0.3816,23.7351,12.4337,17.5264,11.0619,1.4135,24.215
2010,Imperial Oil,Energy,32.56,24222.56,5960.971,2145.91,2.58,3458.709,10852.86,3113.99,-3601.43,248.57,0.773,0.3139,20.3291,11.0407,15.7168,8.8591,-0.0248,20.8266
